,Mass g,Density g/cm3,Pressure dyn/cm2,Temperature K,Radius cm,Luminosity erg/s,Energy Generation Rate erg/s/g,Opacity,Del_ad,Del,Radiative or Convective
0,5.5692e+29,81.58064338840387,1.912100055212919e+17,17388602.303144123,1175219539.664843,3.9858780054003576e+31,69.32007778062264,0.9692476592935156,0.4,0.5724009933320683,Convects
1,5.569200000000007e+29,81.58064338840387,1.912100055212919e+17,17388602.303144123,1175219539.6648436,3.9858780054003625e+31,69.32007778062264,0.9692476592935156,0.4,0.5724009933320683,Convects
2,5.5692000000000775e+29,81.58064338840387,1.912100055212919e+17,17388602.303144123,1175219539.6648486,3.985878005400411e+31,69.32007778062264,0.9692476592935156,0.4,0.5724009933320681,Convects
3,5.569200000000781e+29,81.58064338840384,1.912100055212918e+17,17388602.30314412,1175219539.6648982,3.985878005400899e+31,69.32007778062263,0.9692476592935186,0.4,0.5724009933320677,Convects
4,5.569200000007818e+29,81.58064338840357,1.9121000552129072e+17,17388602.30314408,1175219539.6653953,3.9858780054057767e+31,69.32007778062061,0.9692476592935206,0.4,0.5724009933320482,Convects
5,5.569200000078187e+29,81.58064338840076,1.912100055212798e+17,17388602.303143684,1175219539.670365,3.9858780054545566e+31,69.32007778060239,0.9692476592935452,0.4,0.5724009933318546,Convects
6,5.569200000781874e+29,81.58064338837289,1.9121000552117075e+17,17388602.303139716,1175219539.7200637,3.985878005942353e+31,69.32007778041563,0.9692476592937931,0.4,0.5724009933299233,Convects
7,5.5692000078187486e+29,81.58064338809409,1.912100055200803e+17,17388602.30310005,1175219540.2170503,3.98587801082032e+31,69.32007777854984,0.9692476592962922,0.4,0.572400993310621,Convects
8,5.569200078187493e+29,81.58064338530593,1.912100055091756e+17,17388602.30270338,1175219545.1869178,3.9858780595999883e+31,69.32007775989416,0.9692476593212624,0.4,0.5724009931175863,Convects
9,5.5692007818749346e+29,81.58064335742445,1.912100054001289e+17,17388602.298736706,1175219594.8855894,3.9858785473966697e+31,69.32007757333615,0.9692476595709778,0.4,0.5724009911872435,Convects
10,5.5692078187493524e+29,81.58064307860978,1.9121000430966208e+17,17388602.259069968,1175220091.8720756,3.985883425363409e+31,69.32007570775798,0.9692476620681287,0.4,0.5724009718838369,Convects
