                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2                                     msun                                     rsun                                     lsun 
                               "r26.4.1"                               "gfortran"                                 "15.2.0"                   "aarch64-macos-26.3.2"                                 "CRMATH"                               "20260504"                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                       log_power_nuc_burn                           power_nuc_burn                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                     Lnuc                                       pp                                      cno                                tri_alpha                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                             co_core_mass                            one_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                                num_iters 
                                       1                                      676                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3181511396972804E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3181511396972804E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883619653763089E+000                  3.2481646428043179E-006                 -5.4883619653763089E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4883619653763089E+000                  3.2481646428043179E-006                 -5.4883619653892382E+000                 -1.6014558877050494E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778653992050483E+000                  5.7581169184894287E-001                  4.5482820837887233E-001                  3.6745392462236266E+000                  0.0000000000000000E+000                  1.4433440031676136E+001                 -2.7336642841774794E-001                  6.5813237543917014E+000                  6.2123935806650177E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860811E-003                  9.3805276451495393E-003                  9.8000000000000054E-001                  3.9195828331064825E-001                                        0                                        2 
                                       5                                      677                  7.4416000000000014E-005                 -4.6832750158095005E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637068596E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4456214637068596E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883619652713422E+000                  3.2481646435893836E-006                 -5.4883619652713422E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4883619652713422E+000                  3.2481646435893836E-006                 -5.4883619652842714E+000                 -1.6014558876718198E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778657058928625E+000                  5.7581294164296259E-001                  4.5482821990025257E-001                  3.6745392231808656E+000                  0.0000000000000000E+000                  1.4433440031719243E+001                 -2.7336642838441272E-001                  6.5813237544014775E+000                  6.2123935806649699E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860811E-003                  9.3805276451495393E-003                  9.8000000000000054E-001                  3.9195828331064825E-001                                        0                                        2 
                                      10                                      677                  2.5958682111999997E-004                 -4.2873687855713758E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4307158276837652E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.4307158276837652E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883619649597666E+000                  3.2481646459197139E-006                 -5.4883619649597666E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4883619649597666E+000                  3.2481646459197139E-006                 -5.4883619649726958E+000                 -1.6014558875727143E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778654341011854E+000                  5.7581185172186500E-001                  4.5482821852305877E-001                  3.6745392259352534E+000                  0.0000000000000000E+000                  1.4433440031846223E+001                 -2.7336642828674984E-001                  6.5813237544307919E+000                  6.2123935806648223E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064825E-001                                        0                                        2 
                                      15                                      677                  7.2035107872931814E-004                 -3.8914625553332525E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3971072667277386E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3971072667277386E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883619641738788E+000                  3.2481646517975047E-006                 -5.4883619641738788E+000                 -9.8999999999999986E+001                 -2.0896008437422999E+001                 -5.4883619641738788E+000                  3.2481646517975047E-006                 -5.4883619641868089E+000                 -1.6014558873222104E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778653406186752E+000                  5.7581147630551843E-001                  4.5482821777990640E-001                  3.6745392274215583E+000                  0.0000000000000000E+000                  1.4433440032165423E+001                 -2.7336642804180522E-001                  6.5813237545050454E+000                  6.2123935806644459E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860811E-003                  9.3805276451495393E-003                  9.8000000000000054E-001                  3.9195828331064825E-001                                        0                                        2 
                                      20                                      677                  1.8668799962237366E-003                 -3.4955563250951283E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3588732545571121E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3588732545571121E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883619622078212E+000                  3.2481646665019941E-006                 -5.4883619622078212E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4883619622078212E+000                  3.2481646665019941E-006                 -5.4883619622207505E+000                 -1.6014558866950551E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778653184526493E+000                  5.7581138681220911E-001                  4.5482821736530260E-001                  3.6745392282507656E+000                  0.0000000000000000E+000                  1.4433440032962917E+001                 -2.7336642743037487E-001                  6.5813237546911099E+000                  6.2123935806635056E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064825E-001                                        0                                        2 
                                      25                                      677                  4.7198108322034473E-003                 -3.0996500948570040E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3330520546036928E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3330520546036928E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883619573054725E+000                  3.2481647031675186E-006                 -5.4883619573054725E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4883619573054725E+000                  3.2481647031675186E-006                 -5.4883619573184026E+000                 -1.6014558851308141E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778653156720114E+000                  5.7581137462703180E-001                  4.5482821683399061E-001                  3.6745392293133898E+000                  0.0000000000000000E+000                  1.4433440034950518E+001                 -2.7336642590705318E-001                  6.5813237551553598E+000                  6.2123935806611530E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860811E-003                  9.3805276451495393E-003                  9.8000000000000054E-001                  3.9195828331064825E-001                                        0                                        2 
                                      30                                      677                  1.1818815689988481E-002                 -2.7037438646188803E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3222576905056587E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3222576905056587E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883619450957797E+000                  3.2481647944859560E-006                 -5.4883619450957797E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4883619450957797E+000                  3.2481647944859560E-006                 -5.4883619451087098E+000                 -1.6014558812345900E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778653155661352E+000                  5.7581137170721874E-001                  4.5482821558583614E-001                  3.6745392318096988E+000                  0.0000000000000000E+000                  1.4433440039899718E+001                 -2.7336642211451301E-001                  6.5813237563119520E+000                  6.2123935806552932E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064825E-001                                        0                                        2 
                                      35                                      677                  2.9483411457712130E-002                 -2.3078376343807561E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3192596855835475E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3192596855835475E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883619147038392E+000                  3.2481650217926316E-006                 -5.4883619147038392E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -5.4883619147038392E+000                  3.2481650217926316E-006                 -5.4883619147167693E+000                 -1.6014558715360462E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778653155453704E+000                  5.7581136540320321E-001                  4.5482821247535854E-001                  3.6745392380306541E+000                  0.0000000000000000E+000                  1.4433440052218197E+001                 -2.7336641267551842E-001                  6.5813237591912443E+000                  6.2123935806407038E-001                  8.5000496627254207E-001                  1.2966429887659308E+000                  7.0000000000000007E-001                  2.7997020236474895E-001                  3.4468833607860798E-003                  9.3805276451495410E-003                  3.4468833607860811E-003                  9.3805276451495393E-003                  9.8000000000000054E-001                  3.9195828331064825E-001                                        0                                        2 
                                      40                                      677                  7.3438578398454232E-002                 -1.9119314041426323E+000                  1.3999999999999997E+000                  3.3444633946038905E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3185266616304170E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.9999999865462497E-001                  2.3185266616304170E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                 -5.4883618390686228E+000                  3.2481655874818062E-006                 -5.4883618390686228E+000                 -9.8999999999999986E+001                 -2.1072099696478681E+001                 -5.4883618390686228E+000                  3.2481655874818062E-006                 -5.4883618390815521E+000                 -1.6014558473995297E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.6778653155144974E+000                  5.7581134980507331E-001                  4.5482820473803931E-001                  3.6745392535052925E+000                  0.0000000000000000E+000                  1.4433440082873815E+001                 -2.7336638918632505E-001                  6.5813237663571895E+000                  6.2123935806043884E-001                  8.5000496627254196E-001                  1.2966429887659308E+000                  6.9999999999999996E-001                  2.7997020236474890E-001                  3.4468833607860789E-003                  9.3805276451495410E-003                  3.4468833607860807E-003                  9.3805276451495393E-003                  9.7999999999999998E-001                  3.9195828331064825E-001                                        0                                        2 
